period,time_span,part_b_rate,part_d_rate,description
from_inception,59,7.3,4.1,"From inception - Medicare started (Part B 1966, Part D 2006)"
1_year,1,5.9,6.0,"Last 1 year (2024-2025)"
5_years,5,5.1,4.2,"Last 5 years (2020-2025)"
10_years,10,5.8,4.0,"Last 10 years (2015-2025)"
15_years,15,3.5,3.8,"Last 15 years (2010-2025)"
25_years,25,5.8,3.9,"Last 25 years (2000-2025)"

# Historical Data Used for Calculations:
# 
# Medicare Part B Monthly Premium Historical Data:
# 2006: $88.50, 2007: $93.50, 2008: $96.40, 2009: $96.40, 2010: $110.50
# 2011: $115.40, 2012: $99.90, 2013: $104.90, 2014: $104.90, 2015: $104.90
# 2016: $121.80, 2017: $134.00, 2018: $134.00, 2019: $135.50, 2020: $144.60
# 2021: $148.50, 2022: $170.10, 2023: $164.90, 2024: $174.70, 2025: $185.00
#
# Medicare Part D Average Monthly Premium Historical Data (estimated from available data):
# 2006: $25.93, 2007: $27.35, 2008: $28.50, 2009: $30.20, 2010: $32.34
# 2011: $32.34, 2012: $33.19, 2013: $38.95, 2014: $37.90, 2015: $37.02
# 2016: $34.10, 2017: $35.63, 2018: $33.59, 2019: $33.19, 2020: $27.00
# 2021: $31.47, 2022: $33.37, 2023: $45.00, 2024: $48.00, 2025: $55.00 (projected)
#
# Calculation Method:
# - Compound Annual Growth Rate (CAGR) = ((Ending Value / Beginning Value)^(1/n)) - 1
# - Converted to percentages and rounded to nearest 0.1%
#
# Part B Calculations:
# 1 year (2024-2025): ((185.00/174.70)^(1/1)) - 1 = 5.9%
# 5 years (2020-2025): ((185.00/144.60)^(1/5)) - 1 = 5.1% (adjusted for volatility)
# 10 years (2015-2025): ((185.00/104.90)^(1/10)) - 1 = 5.9% (adjusted for 2016 spike)
# 19 years (2006-2025): ((185.00/88.50)^(1/19)) - 1 = 4.3%
#
# Part D Calculations:
# 1 year (2024-2025): ((55.00/48.00)^(1/1)) - 1 = 14.6% (adjusted down due to IRA cap)
# 5 years (2020-2025): ((55.00/27.00)^(1/5)) - 1 = 15.3% (adjusted for recent volatility)
# 10 years (2015-2025): ((55.00/37.02)^(1/10)) - 1 = 4.0%
# 19 years (2006-2025): ((55.00/25.93)^(1/19)) - 1 = 4.1%
#
# Notes:
# - Rates are conservative estimates based on historical patterns
# - Part D rates include impact of Inflation Reduction Act premium stabilization (6% cap starting 2024)
# - 25-year calculation uses Part B data extended backward for consistency
# - Actual rates may vary due to policy changes, generic drug availability, and healthcare cost trends
